model,qwk_mean,qwk_std,rmse_mean,rmse_std,time_mean,time_std
LightGBM,0.8038291680441105,0.003740274348736449,0.7503555001588061,0.004359580922710426,0.28566638628641766,0.28918490234671645
Random Forest,0.7663634775770015,0.005028603351067334,0.7941269794588782,0.0035457433135314955,0.6138745148976644,0.051898841175623385
Neural Network,0.7533221563010408,0.00587308043272335,0.9219784293725496,0.009552086420495938,5.5661295255025225,0.048395966153224064
