algorithm,n_clusters,silhouette_score,calinski_harabasz_score,davies_bouldin_score,training_time,cluster_sizes
K-means,4,0.14933679607960373,9.213682724132612,1.6571899338269536,0.3425304889678955,"{0: 7, 1: 12, 2: 16, 3: 13}"
Hierarchical,4,0.14558540013746593,8.510637655778112,1.6976028683071915,0.11497068405151367,"{0: 14, 1: 15, 2: 14, 3: 5}"
Gaussian Mixture,4,0.15291236813818454,9.033702485698775,1.6392848084559968,0.013143062591552734,"{0: 6, 1: 14, 2: 20, 3: 8}"
